category,subcategory,count
"Tea, Coffee & Health Drinks",Milk Drinks,165
Books,Baby & Toddler Books,164
Home & Office,Party Essentials,164
"Masala, Oil & More",Oil,164
Vegetables & Fruits,Freshly Cut & Sprouts,163
Pharma & Wellness,Adult Diapers,162
Cleaning Essentials,Dishwashing Accessories,161
Magazines,Business & Finance Magazines,159
Beauty & Cosmetics,Face Cream & Gel,158
Baby Care,Nursing,157
Cleaning Essentials,Toilet & Bathroom Cleaners,157
Baby Care,Baby Food,155
Munchies,Papad & Fryums,154
Personal Care,Handwash,154
Home & Office,Home & Kitchen Appliances,154
Sauces & Spreads,Asian Sauces,150
Sauces & Spreads,Dips & Salad Dressings,149
Instant & Frozen Food,Dessert & Cake Mixes,147
Fashion & Accessories,Women's Western Wear,147
Personal Care,Shampoo & Conditioner,147
Pharma & Wellness,Health Supplement Assortment,146
Cleaning Essentials,Detergent Powder & Bars,145
Home Furnishing & Decor,Car & Bike Care,144
"Tea, Coffee & Health Drinks",Cold Coffee & Ice Tea,144
Toys & Games,Guns & Blasters,143
Dairy & Breakfast,Paneer & Tofu,142
Home & Office,"Sports, Fitness & Outdoors",141
Personal Care,Shower Gels & Scrubs,136
Beauty & Cosmetics,Lipstick,136
Personal Care,Deodorants & Powders,135
Toys & Games,Pretend Playsets,134
"Tea, Coffee & Health Drinks",Green & Flavoured Tea,130
Fashion and Accessories,Luggage & Travel Bags,129
Beauty & Cosmetics,Nail color/paints,128
Cleaning Essentials,Shoe Care,126
Bakery & Biscuits,Sweet & Salty,126
"Dairy, Bread & Eggs",Bread,126
Organic & Premium,Snacks & Munchies,123
Fashion & Accessories,Women's Westerwear,123
Baby Care,Baby Feeding Needs,123
Instant & Frozen Food,Herbs & Seasoning,122
Electronics & Electricals,Music Instruments & Accessories,122
Bakery & Biscuits,Healthy & Digestive,121
Cold Drinks & Juices,Water & Ice Cubes,120
Personal Care,Soaps,120
Baby Care,Baby Wipes,116
Baby Care,Oral & Nasal Care,115
Breakfast & Instant Food,Instant Mixes,115
Beauty & Cosmetics,Bath & Beauty Gifts,115
Personal Care,Hair Colour & More,114
Organic & Premium,Chocolates & Candies,112
Personal Care,Body Moisturizers & More,112
Paan Corner,Lighters,110
Vegetables & Fruits,Hydroponic,110
Kitchen & Dining,Kitchen Towels & Napkins,110
Dairy & Breakfast,Gourmet Cheese,110
Baby Care,Baby Diapers,109
"Chicken, Meat & Fish","Sausage, Salami & Ham",108
Cleaning Essentials,Dishwashing Gels & Tablets,107
Pharma & Wellness,Digestive Care,107
Fashion and Accessories,Clothing Accessories,105
Cold Drinks & Juices,Coconut Water,105
Paan Corner,Cigarettes,104
"Masala, Oil & More","Salt, Sugar & Jaggery",103
Baby Care,Bathing Needs,102
Organic & Gourmet,Chocolates & Candies,102
Home & Office,Games,102
Home & Office,Fresheners,102
Pharma & Wellness,Pre & Post Workout,100
Magazines,Children Magazines,99
Toys & Games,Science & Learning,99
Magazines,Health & Lifestyle Magazines,97
Vegetables & Fruits,Flowers & Leaves,97
Books,Children's Activity Books,96
Bakery & Biscuits,Baking Ingredients,94
Vegetables & Fruits,Exotics & Premium,94
"Masala, Oil & More",Dates & Seeds,94
Toys & Games,Poker & Party Games,92
Personal Care,Bath & Beauty Gifts,92
"Chicken, Meat & Fish",Exotic Meat,92
Breakfast & Instant Food,Energy Bars,90
Pharma & Wellness,Masks & Sanitizers,88
Home & Office,DIY and Learning,88
Dairy & Breakfast,Flakes & Kids Cereals,87
Sauces & Spreads,Table Sauces,87
Sauces & Spreads,Cooking Sauces & Paste,87
Baby Care,Baby Gifting & Toys,86
Magazines,Current Affairs & Business,86
Cleaning Essentials,Floor Cleaners & More,86
Cold Drinks & Juices,Fruit Juices,85
Home & Office,Repellents,85
"Masala, Oil & More",Ghee & Vanaspati,85
Breakfast & Instant Food,Ready to Eat,85
Sauces & Spreads,Mayonnaise,83
Organic & Gourmet,Beverages,83
"Tea, Coffee & Health Drinks",Lactose Free Drink,82
Baby Care,Health & Safety,81
Baby Care,Hygiene,81
Pharma & Wellness,Healthcare Devices,81
Munchies,Munchies Gift Packs,80
Toys & Games,Novelty Toys,79
Instant & Frozen Food,Batter,79
Breakfast & Instant Food,Frozen Non-Veg Snacks,78
Pharma & Wellness,Condoms,78
Home & Office,Home Improvement,77
"Tea, Coffee & Milk Drinks",Milk Drinks,76
Breakfast & Instant Food,Pasta,76
Beauty & Cosmetics,Lip Balm,75
"Atta, Rice & Dal",Other Flours,74
Toys & Games,Action Figures,73
Fashion and Accessories,Jewellery,72
Cleaning Essentials,Fabric Conditioner & Additives,72
Beauty & Cosmetics,Hair Oil,72
"Dairy, Bread & Eggs",Curd & Yogurt,72
Vegetables & Fruits,Leafies & Herbs,71
Toys & Games,Board Games,71
Pharma & Wellness,Supplements,71
Pharma & Wellness,Beauty Supplements,70
Pet Care,Dog Treat,70
Home & Office,Car & Bike Care,70
Vegetables & Fruits,Other Frozen Snacks,70
Baby Care,Baby Skin & Hair Care,70
Pet Care,Diverse Pet Food,67
"Tea, Coffee & Milk Drinks",Herbal Drinks,67
"Tea, Coffee & Health Drinks",Herbal Drinks,67
Organic & Premium,Cookies & Wafers,65
Vegetables & Fruits,Vegetables,65
Cleaning Essentials,Household Appliance Cleaners,64
Ice Cream & Frozen Desserts,Tubs,64
Organic & Premium,Tea & Coffee,63
Paan Corner,Hookah Needs,62
Sauces & Spreads,Chutney & Pickle,61
Cold Drinks & Juices,Mango Drinks,60
"Dairy, Bread & Eggs",Peanut Butter,60
"Tea, Coffee & Milk Drinks",Lactose Free Drink,59
Sauces & Spreads,Tomato & Chilli Ketchup,59
Pharma & Wellness,Smoking Cessation,59
Bakery & Biscuits,Biscuit Gift Pack,59
Toys & Games,Model Toy Vehiclesme,59
Toys & Games,Building & Block Toys,59
Beauty & Cosmetics,Hair Removal,59
Pet Care,Dog Food & Treats,59
"Dairy, Bread & Eggs",Oats,59
Cold Drinks & Juices,Pure Juices,58
Organic & Gourmet,Cookies & Wafers,58
Organic & Premium,Noodles & Pasta,56
Home & Office,Festive Gifting,56
Organic & Premium,Premium Sauces & Spreads,55
Beauty & Cosmetics,Toners & Mists,55
"Tea, Coffee & Health Drinks",Health Drinks,55
Beauty & Cosmetics,Men's Fragrance,54
Home & Office,Hair Dryer,54
Ice Cream & Frozen Desserts,Sticks,52
Beauty & Cosmetics,Body accessories,52
Beauty & Cosmetics,Women's Fragrance,52
Instant & Frozen Food,Frozen Veg,51
Beauty & Cosmetics,Lip Gloss,51
Dairy & Breakfast,Butter & More,49
"Tea, Coffee & Milk Drinks",Herbal Infusion,49
Fashion & Accessories,Kid's Costumes,49
"Dairy, Bread & Eggs",Muesli,49
Cold Drinks & Juices,Cocktail Mixers/Tonic Waters,49
Toys & Games,Art & Craft Kits,48
Home & Office,Trimmers,48
Bakery & Biscuits,Glucose & Marie,47
Instant & Frozen Food,Soup,47
Magazines,Easy Reads Magazines,47
Baby Care,Baby Bathing Needs,47
Fashion and Accessories,Women's Innerwear & Loungewear,46
Cleaning Essentials,Toilet Cleaners & More,46
Books,Self Help Books,46
Toys & Games,Sports Toys,46
Baby Care,Mom Care Needs,44
Pharma & Wellness,Cough & Cold,44
Organic & Gourmet,Sauces & Spreads,44
Fashion & Accessories,Medicinal Scrubs & Aprons,43
Pharma & Wellness,Lubricants and Enhancers,43
"Tea, Coffee & Health Drinks",Exotic & Flavoured Tea,43
Cold Drinks & Juices,Cold Drink in Bottles,43
Fashion and Accessories,Men's Innerwear & Loungewear,42
Home & Office,Mixer Grinders,42
Toys & Games,Animal Toys,41
"Dairy, Bread & Eggs",Milk,41
Toys & Games,Puzzles,41
"Chicken, Meat & Fish",Mutton,40
Beauty & Cosmetics,Face Accessories,40
Fashion & Accessories,Kid's Innerwear & Loungewear,39
Breakfast & Instant Food,Herbs & Seasoning,39
Fashion and Accessories,Women's Handbags,38
Cleaning Essentials,Disinfectants,38
Beauty & Cosmetics,Fragrance Gift Sets,38
Fashion & Accessories,Kid's Footwear,37
Vegetables & Fruits,Gourmet Mushroom,37
"Dairy, Bread & Eggs",Honey,37
Vegetables & Fruits,Flowers,37
Ice Cream & Frozen Desserts,Cups,37
Bakery & Biscuits,Baking Ingredients & Mixes,37
Cleaning Essentials,Dishwashing Gels & Powder,37
Organic & Premium,Instant Foods,36
Pharma & Wellness,Everyday Medicines,36
Pharma & Wellness,Personal Body Massagers,36
Baby Care,Baby Gear,35
Cold Drinks & Juices,Beverages Gift Packs,35
Pet Care,Cat Treats,35
Beauty & Cosmetics,Hair tools & accessories,35
Beauty & Cosmetics,Eyeliner,35
"Atta, Rice & Dal",Fresh Atta,34
Beauty & Cosmetics,Lip Tint,33
"Dairy, Bread & Eggs",Eggs,33
Fashion and Accessories,Watches,32
Specials,Print as a service,32
Cleaning Essentials,Laundry Additives,32
"Tea, Coffee & Health Drinks",Green Tea,32
Munchies,Imported Snacks,31
"Tea, Coffee & Milk Drinks",Hot Chocolate,30
Dairy & Breakfast,Vermicelli,30
Organic & Gourmet,Cooking Essentials,29
Sauces & Spreads,Dips & Spreads,29
"Dairy, Bread & Eggs",Paneer & Tofu,29
Cold Drinks & Juices,Mineral Water,29
"Dairy, Bread & Eggs",Poha,29
Toys & Games,Learning Toys,28
Toys & Games,Light & Musical Toys,28
Beauty & Cosmetics,Eye accessories,28
Dairy & Breakfast,Cream & Whitener,27
Paan Corner,Non-Tobacco Blends,27
Beauty & Cosmetics,Eye Creams & Masks,27
Cleaning Essentials,Shoe Polish & Brush,27
Home & Office,Electric Kettles,27
"Dairy, Bread & Eggs",Cheese,26
Cold Drinks & Juices,Mango Drink,26
Beauty & Cosmetics,Hair Serum,25
Vegetables & Fruits,Fruits,25
Home & Office,Fans,24
